lr,batch_size,optimizer,dropout,architecture,fold,epoch,train_loss,val_acc,,
0.001,128,Adam,0.5,"[512, 256, 128]",1,2,0.2357,0.9583,,
0.001,128,Adam,0.5,"[512, 256, 128]",1,3,0.1857,0.9617,,
0.001,128,Adam,0.5,"[512, 256, 128]",1,4,0.1562,0.967,,
0.001,128,Adam,0.5,"[512, 256, 128]",1,5,0.1399,0.9698,,
0.001,128,Adam,0.5,"[512, 256, 128]",1,6,0.1194,0.9729,,
0.001,128,Adam,0.5,"[512, 256, 128]",1,7,0.1115,0.9719,,
0.001,128,Adam,0.5,"[512, 256, 128]",1,8,0.1058,0.9727,,
0.001,128,Adam,0.5,"[512, 256, 128]",1,9,0.0968,0.9744,,
0.001,128,Adam,0.5,"[512, 256, 128]",1,10,0.093,0.9761,,
0.001,128,Adam,0.5,"[512, 256, 128]",1,11,0.0879,0.9782,,
0.001,128,Adam,0.5,"[512, 256, 128]",1,12,0.0809,0.9768,,
0.001,128,Adam,0.5,"[512, 256, 128]",1,13,0.0791,0.9764,,
0.001,128,Adam,0.5,"[512, 256, 128]",1,14,0.0728,0.9777,,
0.001,128,Adam,0.5,"[512, 256, 128]",1,15,0.0717,0.9785,,
0.001,128,Adam,0.5,"[512, 256, 128]",2,1,0.6039,0.9399,,
0.001,128,Adam,0.5,"[512, 256, 128]",2,2,0.2361,0.9541,,
0.001,128,Adam,0.5,"[512, 256, 128]",2,3,0.1817,0.9644,,
0.001,128,Adam,0.5,"[512, 256, 128]",2,4,0.1521,0.9698,,
0.001,128,Adam,0.5,"[512, 256, 128]",2,5,0.133,0.9698,,
0.001,128,Adam,0.5,"[512, 256, 128]",2,6,0.1209,0.9736,,
0.001,128,Adam,0.5,"[512, 256, 128]",2,7,0.1103,0.973,,
0.001,128,Adam,0.5,"[512, 256, 128]",2,8,0.1016,0.9749,,
0.001,128,Adam,0.5,"[512, 256, 128]",2,9,0.096,0.9754,,
0.001,128,Adam,0.5,"[512, 256, 128]",2,10,0.0877,0.9748,,
0.001,128,Adam,0.5,"[512, 256, 128]",2,11,0.0852,0.9749,,
0.001,128,Adam,0.5,"[512, 256, 128]",2,12,0.0812,0.975,,
0.001,128,Adam,0.5,"[512, 256, 128]",2,13,0.0749,0.9764,,
0.001,128,Adam,0.5,"[512, 256, 128]",2,14,0.072,0.9775,,
0.001,128,Adam,0.5,"[512, 256, 128]",2,15,0.0671,0.9781,,
0.001,128,Adam,0.5,"[512, 256, 128]",3,1,0.6018,0.94,,
0.001,128,Adam,0.5,"[512, 256, 128]",3,2,0.2388,0.9543,,
0.001,128,Adam,0.5,"[512, 256, 128]",3,3,0.1895,0.9633,,
0.001,128,Adam,0.5,"[512, 256, 128]",3,4,0.1534,0.9641,,
0.001,128,Adam,0.5,"[512, 256, 128]",3,5,0.139,0.9712,,
0.001,128,Adam,0.5,"[512, 256, 128]",3,6,0.1261,0.9706,,
0.001,128,Adam,0.5,"[512, 256, 128]",3,7,0.1135,0.9758,,
0.001,128,Adam,0.5,"[512, 256, 128]",3,8,0.1095,0.9759,,
0.001,128,Adam,0.5,"[512, 256, 128]",3,9,0.0935,0.9764,,
0.001,128,Adam,0.5,"[512, 256, 128]",3,10,0.0892,0.9754,,
0.001,128,Adam,0.5,"[512, 256, 128]",3,11,0.0869,0.9777,,
0.001,128,Adam,0.5,"[512, 256, 128]",3,12,0.0818,0.9787,,
0.001,128,Adam,0.5,"[512, 256, 128]",3,13,0.0768,0.9779,,
0.001,128,Adam,0.5,"[512, 256, 128]",3,14,0.0757,0.9768,,
0.001,128,Adam,0.5,"[512, 256, 128]",3,15,0.0723,0.9799,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",1,1,2.3022,0.1142,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",1,2,2.3013,0.1142,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",1,3,2.301,0.1142,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",1,4,2.3008,0.1142,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",1,5,2.3005,0.1142,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",1,6,2.3002,0.1142,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",1,7,2.2998,0.1142,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",1,8,2.2991,0.1142,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",1,9,2.2979,0.1142,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",1,10,2.2954,0.1142,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",1,11,2.288,0.1142,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",1,12,2.2438,0.231,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",1,13,1.8847,0.309,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",1,14,1.5239,0.4924,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",1,15,1.148,0.6916,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",2,1,2.3037,0.0994,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",2,2,2.3012,0.1112,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",2,3,2.3006,0.1112,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",2,4,2.3002,0.1112,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",2,5,2.2999,0.1112,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",2,6,2.2994,0.1112,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",2,7,2.2988,0.1112,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",2,8,2.2978,0.1112,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",2,9,2.2959,0.1112,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",2,10,2.2913,0.1112,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",2,11,2.2727,0.2667,,
0.01,64,SGD,0,"[4096, 2048, 1024, 512, 256, 128, 64]",2,12,2.0795,0.284,,
