rk,conf,g,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,win_pct,snapshot,champ_prob
69,B10,32.0,115.7,103.7,0.7772,50.6,52.8,15.4,17.4,30.8,32.2,36.2,30.5,51.3,52.9,32.9,35.1,36.3,37.7,69.4,-3.0,Rutgers,,,2025,,pre,0.0
70,Amer,30.0,109.6,98.5,0.7737,51.6,46.8,17.0,19.5,33.1,27.7,36.6,39.5,50.5,47.6,35.7,30.3,37.3,37.7,61.1,-1.7,North Texas,,,2025,,pre,0.0
71,B12,32.0,106.2,95.6,0.7697,46.8,50.9,17.3,19.5,33.0,29.6,33.5,28.3,47.8,53.4,30.0,31.6,34.7,42.5,67.2,-1.7,TCU,,,2025,,pre,0.0
72,B12,33.0,114.8,103.4,0.7691,49.4,51.1,17.2,18.1,32.4,34.4,36.3,30.8,48.6,52.1,33.6,33.0,41.3,37.0,72.4,-2.0,UCF,,,2025,,pre,0.0
73,A10,33.0,105.3,95.1,0.764,51.5,45.0,20.0,18.9,32.1,29.1,41.7,31.5,50.7,44.6,35.3,30.3,35.8,45.5,65.4,-0.42,George Mason,,,2025,,pre,0.0
74,ACC,32.0,107.1,97.0,0.7581,49.4,47.2,16.7,19.7,26.8,31.5,36.1,31.5,52.9,48.2,28.5,30.7,35.2,45.8,67.9,0.6,Wake Forest,,,2025,,pre,0.0
75,SEC,32.0,109.6,99.4,0.755,48.9,51.5,18.4,15.6,30.4,27.3,43.3,30.4,49.8,51.1,31.6,34.8,39.0,34.6,66.1,-5.5,South Carolina,,,2025,,pre,0.0
76,ACC,33.0,112.6,102.3,0.7517,50.4,50.6,15.8,17.6,31.1,28.2,29.7,36.0,49.9,50.9,34.1,33.4,41.4,34.1,66.8,-2.8,Stanford,,,2025,,pre,0.0
77,A10,31.0,115.1,104.6,0.7501,52.6,50.4,15.5,17.7,29.6,28.8,37.9,30.7,52.1,51.9,35.6,32.3,40.4,42.4,66.5,-1.6,Dayton,,,2025,,pre,0.0
78,BE,33.0,115.4,104.9,0.7488,53.0,49.4,16.4,11.5,26.4,29.3,37.3,20.4,51.7,50.9,36.6,31.3,40.9,36.8,68.1,-6.0,Butler,,,2025,,pre,0.0
