rk,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,type,venue
97,A10,6,3–3 0–0,105.7 93,98.8 138,.6835 97,54.1 29,46.9 53,22.8 303,19.7 113,28.0 151,32.4 254,39.6 21,28.9 117,57.7 6,46.2 44,31.3 207,31.9 110,33.8 265,42.0 277,65.4 315,-1.4 151,Rhode Island,,,2022,N,A-N
98,Ivy,9,4–5 0–0,102.7 138,96.2 89,.6806 98,46.0 225,51.6 178,18.9 135,21.1 61,29.7 118,28.6 151,29.7 134,33.2 204,46.4 215,52.8 217,30.3 244,32.7 132,38.7 164,33.0 66,70.0 125,-1.5 163,Brown,,,2022,N,A-N
99,WAC,7,6–1 0–0,104.3 110,97.9 126,.6758 99,53.9 31,47.3 59,22.4 291,15.9 280,30.0 111,27.8 124,24.9 242,26.7 77,56.7 12,46.3 47,32.6 163,32.4 120,37.0 204,42.7 287,66.9 262,+1.5 8,New Mexico St.,12,R32,2022,N,A-N
100,Sum,8,4–4 0–0,113.3 24,106.3 276,.6744 100,56.8 8,54.7 282,17.4 72,16.0 275,25.0 225,27.3 106,30.8 118,24.4 46,54.4 28,55.0 281,40.6 9,36.1 241,37.0 204,41.9 272,72.4 44,-1.0 127,South Dakota St.,13,R64,2022,N,A-N
101,MAAC,6,3–3 0–0,99.0 185,93.4 55,.6637 101,49.9 115,46.0 37,17.7 83,17.7 205,31.9 68,24.8 51,23.0 281,37.4 277,50.9 92,48.9 93,32.1 177,26.2 18,37.5 193,30.8 38,67.2 256,-1.5 158,Fairfield,,,2022,N,A-N
102,Amer,4,1–3 0–0,101.1 159,95.4 80,.6610 102,44.7 272,47.2 57,23.6 329,20.0 95,35.3 21,30.3 211,42.9 9,56.1 357,44.7 260,45.0 33,29.9 252,33.7 160,29.6 320,39.2 210,72.5 37,-1.1 139,Memphis,9,R32,2022,N,A-N
103,ACC,3,2–1 0–0,104.7 102,98.9 141,.6584 103,48.4 158,52.5 217,18.6 119,17.7 205,29.2 131,27.5 113,30.8 118,32.8 196,53.0 42,58.5 339,27.1 308,25.9 15,37.8 179,30.5 36,70.8 88,-0.14 73,Wake Forest,,,2022,N,A-N
104,Sum,6,3–3 0–0,102.8 137,97.2 118,.6539 104,48.3 160,51.8 187,17.8 88,20.5 76,31.8 72,24.0 38,20.8 319,35.8 252,46.0 227,48.4 82,34.3 104,40.6 329,43.1 78,27.3 9,74.3 11,-0.9 119,Western Illinois,,,2022,N,A-N
105,A10,7,2–5 0–0,106.4 79,100.7 176,.6533 105,53.0 41,53.3 250,19.1 152,16.8 249,25.6 212,23.4 33,30.7 122,35.7 250,50.5 104,54.0 253,37.0 48,35.0 203,49.5 17,45.2 327,67.0 259,-2.2 221,George Mason,,,2022,N,A-N
106,ACC,4,1–3 0–0,111.7 34,105.7 263,.6517 106,52.1 61,56.4 323,18.2 104,12.0 354,21.7 308,26.8 94,39.8 19,23.9 40,51.7 61,52.6 209,35.3 79,43.2 351,36.0 222,31.4 49,75.0 6,-0.41 86,North Carolina,8,Finals,2022,N,A-N
107,CUSA,5,2–3 0–0,106.9 72,101.4 187,.6470 107,48.7 149,52.2 199,17.9 91,17.0 244,30.9 92,32.4 254,27.4 182,34.2 226,51.1 81,53.1 233,30.0 249,33.9 169,38.7 164,41.2 257,67.6 233,-0.7 104,Louisiana Tech,,,2022,N,A-N
108,P12,5,1–4 0–0,106.2 87,100.7 174,.6465 108,46.9 205,51.7 183,16.3 33,16.3 262,22.7 286,32.0 249,25.0 239,33.2 204,46.5 211,52.3 203,31.7 193,33.9 169,41.1 120,39.8 227,68.3 207,-0.8 111,Arizona St.,,,2022,N,A-N
109,MAC,7,3–4 0–0,108.0 59,102.5 208,.6463 109,51.0 89,49.9 122,18.1 99,15.0 313,33.8 40,28.7 157,21.1 313,28.3 109,51.6 62,50.2 126,33.3 133,32.8 137,36.9 207,29.0 20,72.4 44,-1.4 150,Buffalo,,,2022,N,A-N
110,WAC,4,3–1 0–0,94.7 259,90.0 33,.6406 110,43.3 299,41.9 5,19.8 174,19.1 131,37.4 6,27.0 99,23.1 279,27.2 88,46.1 223,45.8 41,25.8 323,22.7 6,37.7 184,32.9 65,66.0 302,+0.45 44,Grand Canyon,,,2022,N,A-N
111,CUSA,7,3–4 0–0,101.0 160,96.3 94,.6343 111,49.0 138,47.9 68,22.1 286,20.6 72,30.4 105,31.4 241,34.4 62,41.0 314,53.6 36,47.0 63,28.7 278,33.1 145,43.1 78,32.5 53,73.5 19,-1.6 171,Middle Tennessee,,,2022,N,A-N
112,SB,7,1–6 0–0,99.4 179,94.9 73,.6318 112,44.6 279,54.5 277,16.3 33,17.6 212,25.1 221,25.1 56,24.9 242,26.5 72,47.1 197,58.6 340,27.5 301,32.7 132,43.0 83,43.0 293,65.8 306,-2.4 230,Appalachian St.,,,2022,N,A-N
