rk,conf,g,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,snapshot,champion,win_pct,champ_prob
251,BSky,34.0,104.3,111.6,0.3153,50.3,53.7,15.2,15.0,31.9,24.4,28.5,33.8,49.5,52.9,34.4,36.7,37.8,37.0,66.8,-11.5,Northern Arizona,,,2025,post,0,,0.0
252,BSky,33.0,107.9,115.4,0.3143,51.8,54.0,17.9,15.1,28.9,31.3,33.6,35.7,51.5,55.1,34.7,34.9,47.9,39.9,66.6,-14.0,Idaho,,,2025,post,0,,0.0
253,BSth,33.0,103.3,110.6,0.3133,51.1,52.9,16.2,17.8,29.4,31.1,31.1,38.9,49.7,53.7,36.0,34.3,33.9,34.8,64.7,-13.8,Presbyterian,,,2025,post,0,,0.0
254,OVC,33.0,98.3,105.3,0.311,49.5,46.7,20.4,21.5,30.4,35.4,29.0,37.9,47.2,46.3,36.6,31.4,30.3,44.2,67.0,-9.9,Little Rock,,,2025,post,0,,0.0
255,BW,32.0,97.2,104.2,0.3107,46.3,50.0,19.7,21.8,27.6,33.6,38.3,39.2,45.1,48.3,32.2,35.2,35.5,37.7,67.4,-11.4,UC Davis,,,2025,post,0,,0.0
256,SWAC,34.0,100.4,107.6,0.3103,47.7,50.6,19.5,17.4,30.1,30.0,37.5,30.6,47.1,50.3,32.6,34.1,33.7,41.7,68.7,-10.6,Jackson St.,,,2025,post,0,,0.0
257,MVC,32.0,98.5,105.7,0.3092,48.8,50.2,17.7,16.7,22.6,29.2,31.1,34.6,51.5,49.4,29.9,34.1,40.6,44.9,67.1,-14.7,Evansville,,,2025,post,0,,0.0
258,MAAC,36.0,100.3,107.7,0.3047,50.9,48.7,21.4,15.6,30.5,27.9,30.5,26.1,50.3,49.4,34.5,31.8,41.1,45.2,67.8,-8.1,Mount St. Mary's,16.0,R64,2025,post,0,,0.0
259,MAAC,31.0,108.0,116.0,0.3046,50.8,50.9,16.7,15.0,32.5,32.2,31.8,25.9,50.5,52.6,34.1,32.4,41.6,42.0,67.9,-10.0,Manhattan,,,2025,post,0,,0.0
260,CAA,33.0,104.1,112.0,0.3009,47.2,50.7,16.2,16.6,29.7,34.8,36.7,36.1,44.2,50.7,35.2,33.8,34.6,40.7,67.4,-14.4,Monmouth,,,2025,post,0,,0.0
261,BW,33.0,105.1,113.2,0.2987,48.2,54.3,18.8,18.9,35.6,29.7,34.5,46.9,45.3,54.8,37.2,35.7,28.4,41.5,66.3,-14.0,Cal St. Bakersfield,,,2025,post,0,,0.0
262,Amer,33.0,104.6,112.6,0.2984,48.3,54.2,15.1,14.6,25.4,29.2,42.7,37.0,49.6,56.4,31.0,33.3,40.9,34.5,65.0,-16.3,Charlotte,,,2025,post,0,,0.0
263,AE,32.0,107.5,115.9,0.2972,54.6,51.6,18.1,14.7,26.1,30.3,31.6,25.2,56.3,50.5,34.2,35.6,34.6,34.7,68.9,-11.5,UMass Lowell,,,2025,post,0,,0.0
264,Slnd,32.0,100.5,108.4,0.2971,49.1,52.6,18.0,17.9,26.0,32.0,30.5,29.4,49.3,54.5,32.5,32.3,44.0,31.8,64.8,-14.4,Houston Christian,,,2025,post,0,,0.0
265,MAC,32.0,104.8,113.2,0.2921,52.4,53.7,18.7,17.8,29.6,31.7,33.0,38.5,52.4,51.9,35.0,37.7,38.2,38.8,67.4,-12.0,Eastern Michigan,,,2025,post,0,,0.0
266,MWC,32.0,100.5,108.6,0.2913,46.1,54.0,17.7,18.0,27.0,34.0,36.4,23.5,45.6,56.0,31.3,34.2,35.3,43.0,71.1,-16.5,Fresno St.,,,2025,post,0,,0.0
267,SWAC,36.0,100.8,109.3,0.2843,47.0,50.7,13.1,18.7,28.0,30.8,29.1,38.9,45.6,50.8,32.6,33.7,42.7,40.2,68.0,-10.1,Alabama St.,16.0,R64,2025,post,0,,0.0
268,MAAC,32.0,102.2,110.7,0.2843,49.4,51.7,17.2,18.2,28.8,30.0,37.3,31.4,49.5,51.8,32.8,34.3,39.9,34.2,67.3,-14.5,Siena,,,2025,post,0,,0.0
269,BSth,31.0,102.4,111.0,0.2836,51.9,52.0,20.8,14.8,33.4,30.2,36.2,37.2,53.1,54.2,33.0,32.3,33.1,38.0,69.4,-14.9,Gardner Webb,,,2025,post,0,,0.0
270,CUSA,33.0,96.0,104.1,0.2835,46.1,51.6,19.5,20.6,31.0,29.6,36.0,37.5,47.4,52.6,28.8,33.3,30.1,39.5,68.8,-17.4,FIU,,,2025,post,0,,0.0
271,Sum,32.0,100.2,108.6,0.2831,50.3,54.3,18.5,17.6,26.1,29.1,31.6,49.8,50.5,56.2,33.3,34.1,36.9,37.9,66.7,-15.9,Denver,,,2025,post,0,,0.0
272,MAC,31.0,103.5,112.3,0.2816,51.3,51.6,16.4,14.1,26.4,27.9,44.5,30.7,51.0,54.5,34.6,31.5,37.1,39.7,66.6,-13.7,Ball St.,,,2025,post,0,,0.0
273,ASun,32.0,107.8,117.3,0.2753,53.2,54.1,15.0,14.7,27.9,34.2,24.8,31.1,54.0,54.5,35.0,35.5,54.0,31.1,72.5,-11.5,North Florida,,,2025,post,0,,0.0
274,MAC,32.0,99.8,108.5,0.275,49.9,52.6,17.5,17.3,25.6,27.4,34.5,29.8,49.6,54.6,33.5,33.2,39.7,42.4,69.0,-14.2,Bowling Green,,,2025,post,0,,0.0
275,Pat,33.0,104.0,113.2,0.2737,54.2,53.3,16.7,16.3,23.7,26.9,22.6,25.5,54.6,51.5,35.7,37.3,42.2,40.0,67.3,-14.9,Colgate,,,2025,post,0,,0.0
276,AE,33.0,103.4,112.7,0.2708,49.3,54.9,15.7,19.8,32.3,28.4,29.5,34.7,50.2,55.8,31.7,35.6,36.0,34.9,67.8,-12.9,Albany,,,2025,post,0,,0.0
277,MAC,32.0,102.3,111.6,0.2691,47.0,54.5,15.8,16.6,34.4,27.9,31.0,33.2,49.3,55.0,28.2,35.8,32.9,41.0,68.0,-14.7,Western Michigan,,,2025,post,0,,0.0
278,SC,33.0,98.4,107.5,0.2652,48.9,50.8,16.6,16.8,28.8,28.7,29.8,32.8,49.8,49.7,31.8,34.7,40.1,46.0,71.2,-14.4,Mercer,,,2025,post,0,,0.0
279,Slnd,31.0,95.9,104.9,0.2646,46.7,49.2,22.2,20.2,34.6,33.1,32.3,34.1,48.8,47.8,28.7,34.4,36.9,37.1,67.6,-12.0,Stephen F. Austin,,,2025,post,0,,0.0
280,NEC,33.0,95.2,104.2,0.2613,47.7,48.0,20.1,19.2,32.3,27.0,27.6,43.5,48.8,48.8,30.3,31.2,33.4,39.8,65.1,-12.6,LIU,,,2025,post,0,,0.0
