rk,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,type,venue
161,CUSA,9,4–5 4–5,106.8 111,107.2 230,.4893 161,52.4 85,51.2 151,16.7 65,19.4 92,24.1 275,32.4 308,19.9 345,29.2 77,50.0 144,48.0 82,38.6 36,36.2 214,30.9 323,50.2 348,65.7 297,-2.4 180,Southern Miss,,,2019,C,A-N
162,A10,9,3–6 3–6,111.2 53,111.8 302,.4857 162,53.3 58,53.3 241,15.7 35,17.2 199,20.8 328,37.7 350,34.5 95,26.7 36,55.1 24,50.8 169,33.8 188,38.0 272,41.2 107,39.7 204,66.5 264,-2.6 196,Richmond,,,2019,C,A-N
163,Ivy,7,3–4 3–4,106.1 120,107.0 225,.4764 163,52.4 85,52.6 214,17.6 114,17.0 207,24.8 259,23.3 39,25.4 287,41.1 290,51.4 97,47.6 71,36.4 94,39.4 299,33.0 296,43.3 293,68.1 183,-1.6 131,Columbia,,,2019,C,A-N
164,MWC,9,3–6 3–6,106.0 122,107.1 227,.4696 164,55.8 20,51.7 175,18.2 151,15.2 303,20.8 328,26.7 126,32.3 129,30.2 98,56.5 13,51.8 210,36.5 90,34.5 151,36.5 223,43.8 301,68.9 137,-2.9 207,Colorado St.,,,2019,C,A-N
165,P12,9,3–6 3–6,101.8 209,102.9 147,.4679 165,49.6 195,51.7 175,21.5 303,14.8 311,29.2 131,27.6 161,37.3 51,30.0 93,52.4 61,51.8 210,29.7 314,34.2 136,35.5 245,29.7 5,68.8 141,-1.8 144,Stanford,,,2019,C,A-N
166,Pat,9,6–3 6–3,108.9 77,110.3 282,.4650 166,56.4 17,55.4 301,17.6 114,16.2 253,22.4 306,24.8 71,37.4 50,29.1 76,55.0 26,52.2 222,39.0 30,40.4 321,40.3 126,39.1 188,73.2 19,-1.2 114,Lehigh,,,2019,C,A-N
167,SB,9,4–5 4–5,107.1 105,108.5 262,.4636 167,50.2 170,55.0 285,16.8 72,18.3 139,29.9 104,29.7 229,30.9 160,33.5 165,49.6 159,55.6 312,34.0 181,36.0 205,41.7 96,39.5 197,73.2 19,-2.1 163,Louisiana,,,2019,C,A-N
168,MVC,9,4–5 4–5,103.3 175,104.8 187,.4598 168,52.7 74,51.1 145,21.1 285,18.3 139,28.9 139,28.6 190,33.9 101,29.7 83,50.5 121,47.3 62,38.5 41,38.0 272,30.7 325,39.0 184,66.1 285,-2.5 183,Southern Illinois,,,2019,C,A-N
169,AE,8,4–4 4–4,101.3 218,102.7 141,.4594 169,51.9 105,48.9 73,21.2 288,19.6 87,27.8 171,31.1 274,28.0 236,25.1 22,48.9 180,47.4 66,37.0 74,34.3 143,44.8 44,37.2 138,65.0 315,-2.6 189,Albany,,,2019,C,A-N
170,WAC,8,3–5 3–5,103.9 165,105.4 197,.4593 170,45.5 314,49.4 87,17.9 129,16.0 265,39.9 3,25.8 104,27.0 261,44.6 321,45.7 294,46.8 53,29.9 307,35.4 186,27.0 343,41.8 253,66.4 267,-2.6 194,Cal St. Bakersfield,,,2019,C,A-N
171,SC,9,2–7 2–7,110.1 63,111.9 305,.4551 171,55.9 19,57.1 331,22.2 320,13.8 330,29.3 129,24.2 58,33.6 107,40.7 284,52.2 65,61.4 353,40.2 14,34.1 126,45.6 34,41.4 245,72.1 35,-3.8 247,Western Carolina,,,2019,C,A-N
172,BSth,8,4–4 4–4,107.5 98,109.2 275,.4545 172,54.6 36,54.3 270,17.0 80,17.0 207,29.6 119,23.1 32,29.2 211,28.9 69,54.7 30,50.2 140,36.4 94,40.2 318,45.1 37,40.4 226,72.2 32,-2.4 175,Charleston Southern,,,2019,C,A-N
173,ACC,9,0–9 0–9,101.9 206,103.6 156,.4542 173,45.0 323,54.4 272,20.0 241,19.8 76,31.3 73,32.3 306,35.0 82,37.5 243,41.5 344,49.2 114,33.3 204,41.6 336,41.4 102,39.7 204,68.2 175,-3.5 238,Pittsburgh,,,2019,C,A-N
174,WAC,8,2–6 2–6,95.6 299,97.2 58,.4536 174,46.4 289,46.4 24,22.9 334,16.3 246,30.8 85,27.9 172,32.6 121,44.2 318,40.5 346,45.3 27,38.6 36,32.4 80,33.8 287,32.5 23,66.4 267,-3.7 242,Seattle,,,2019,C,A-N
175,P12,9,3–6 3–6,101.3 217,102.9 148,.4536 175,48.9 221,52.3 200,20.5 268,15.4 299,29.8 107,25.4 91,38.8 36,28.4 60,48.4 209,51.5 199,33.2 210,35.6 194,35.3 252,42.5 271,74.3 10,-1.9 148,UCLA,,,2019,C,A-N
176,SC,9,2–7 2–7,102.8 186,104.5 180,.4536 176,52.3 94,53.8 258,19.6 224,19.3 95,24.4 270,31.9 298,29.4 205,21.8 5,50.4 127,54.0 289,37.0 74,35.8 200,36.7 217,51.4 350,70.2 83,-4.0 259,Samford,,,2019,C,A-N
177,Ivy,7,4–3 4–3,106.6 112,108.4 257,.4519 177,51.4 121,56.5 324,21.7 306,18.6 125,32.2 64,19.9 6,30.6 169,31.5 123,48.8 185,57.4 329,36.8 81,36.9 234,41.6 98,40.3 223,69.5 117,-0.8 105,Harvard,,,2019,C,A-N
